clearstoryProjectId,jobNumber,projectName,status,matches,clearstoryApprovedAtpAndCoIssuedUsd,sitelineLatestTotalUsd,differenceUsd,sitelineContractCount
100948,02768,02768 - JPPM Expansion & Renovation (C&W),missing_siteline,,82000,,,0
126894,02769,02769 - Univ. Of Baltimore Commons,missing_siteline,,54057.16,,,0
151330,02779,02779 - USDA GWCC Chiller Replacement (Superior) (DCB-PW) (TS-LL),missing_siteline,,14560,,,0
162350,02783,02783 - UMD NextGen Demo Abatement (Kiewit),missing_siteline,,314178.99,,,0
208452,02785,02785 - UMD Atlantic Abatement (Davis),missing_siteline,,298705,,,0
27017,09720,09720 - NRL - Building 65/75,missing_siteline,,5423487.64,,,0
27018,09725,09725 - Martin Building Renovation,missing_siteline,,3900936.2,,,0
52370,09749,09749 - NRL-66 Reno TTCP Facility,missing_siteline,,144966.22,,,0
51450,09759,09759 - APWU Concrete Demo & rework,missing_siteline,,26650,,,0
42420,09764,09764 - 800 F St. NW,missing_siteline,,174700.69,,,0
54032,09766,09766 - APWU Concrete Demo History Center,missing_siteline,,28170,,,0
66179,09767,09767 - 2005 11th St.,missing_siteline,,64380.62,,,0
59527,09769,09769 - 3450 Eads (Platform USA),missing_siteline,,341000,,,0
65859,09770,09770 - 1841 Columbia Road,missing_siteline,,60277.63,,,0
67112,09771,09771 - GWU Guthridge Hall,missing_siteline,,161760,,,0
80512,09774,09774 - Sink Hole Limit Determination & Repair,missing_siteline,,40039,,,0
92340,09775,09775 - PNC Chevy Chase Tunnel Decom,missing_siteline,,36128.67,,,0
100793,09777,09777 - OPM Data Ctr. (S&D) (Goel-PW) (TS-LL),missing_siteline,,136807.28,,,0
118158,09778,09778 - MedStar Rehab (Christman) (Goel-NS) (TS-LL),missing_siteline,,305212.27,,,0
149348,09781,09781 - LHOB Steam Replacement (Grimberg),missing_siteline,,364860,,,0
151316,09782,09782 - Brennan Center for Justice (Rand Const) (Goel-NS) (TS-LL),missing_siteline,,44648.58,,,0
39909,09837,09837 - OLD SPANISH BUILDING VDOT,missing_siteline,,109403,,,0
45528,09838,09838 - USNA MacDonough Hall Repair - Building 102 (Consigli),missing_siteline,,1255994.08,,,0
50819,09845,09845 - Meade Heights ES Kindergarten Addition,missing_siteline,,19800,,,0
54048,09847,09847 - PG New Forensic Lab (Tuckman - Barbee - 1593-020-070S),missing_siteline,,357670,,,0
51675,09848,09848 - WSSC Lab Expansion,missing_siteline,,118882,,,0
49352,09849,09849 - MacDonough Hall - Piping,missing_siteline,,133051.63,,,0
51908,09852,09852 - Wakefield Forest ES (Meridian),missing_siteline,,339931.71,,,0
53792,09854,09854 - Hyattsville Public Safety HQ (019743-02A),missing_siteline,,360561.8,,,0
53196,09857,09857 - USDA ARS BARC (Grunley),missing_siteline,,488295.21,,,0
63705,09861,09861 - USG MIF (Langley - VA),missing_siteline,,25993,,,0
67140,09863,09863 - Crossfield ES,missing_siteline,,616807.74,,,0
67108,09864,09864 - Madeira Science Bldg,missing_siteline,,38074.3,,,0
65345,09866,09866 - St Stephen's St Agnes Upper School,missing_siteline,,195000,,,0
70332,09868,09868 - MCC Tenant Improvement (Hensley Cons.),missing_siteline,,94800,,,0
69959,09871,09871 - Humphreys - Mold Abatement - Maintenance & Supply Facility Project,missing_siteline,,0,,,0
78772,09872,"09872 - INSCOM, SOAF - Phase 4 Nolan Building",missing_siteline,,4615100.21,,,0
108352,09875,09875 – Old Mt. Vernon HS (Smoot DC) (Goel-PW) (TS-LL),missing_siteline,,1558568.48,,,0
164041,09875,09875 - Old Mount Vernon HS,missing_siteline,,0,,,0
192262,09875,09875 – Old Mt. Vernon HS (Metro Mechanical LLC),missing_siteline,,0,,,0
111812,09877,09877 - United Airlines In-Flight Training Center (Manhattan) (Goel-NS) (TS-LL),missing_siteline,,126065,,,0
121344,09882,09882 - Muse Alley Park (LF Jennings) (Goel-NS) (TS-LL),missing_siteline,,50400.21,,,0
171349,09887,09887 - FCC Children Center,missing_siteline,,27650,,,0
130632,09889,09889 - LiDL 1583 Smoketown (HBW Construction) (Goel-NS) (TS-LL),missing_siteline,,94107.25,,,0
136052,09890,09890 - Walmart Pasadena (Whiting Turner) (Goel-NS) (TS-LL),missing_siteline,,52406.99,,,0
140245,09892,09892 - Withum Tysons (Rand Cons.) (Goel-NS) (TS-LL),missing_siteline,,48990,,,0
136064,09893,"09893 - Walmart - Denton, MD (Whiting Turner) (Goel-NS) (TS-LL)",missing_siteline,,48519.34,,,0
136067,09894,09894 - Walmart Glen Burnie - (Whiting Turner) (Goel-XX) (TS-LL),missing_siteline,,60222.42,,,0
136467,09895,09895 - Montebello Bldg. (Morgan State) (Goel-NS) (TS-LL),missing_siteline,,11191.17,,,0
176812,09896,09896 – Walmart Burke VA (Whiting Turner),missing_siteline,,5000,,,0
149345,09897,09897 - JPMC - Dumfries (Corenic 250016-SC-009),missing_siteline,,54971.46,,,0
146125,09898,09898 - NIH - Bldg 40 (Hensel Phelps),missing_siteline,,0,,,0
26993,09911,09911 - Smothers ES,missing_siteline,,1321186.09,,,0
28666,09912,09912 - American University Mechanical Demo,missing_siteline,,59000,,,0
51812,09914,09914 - Aiton (Whitlock) Elementary,match,true,1111434.46,1111434.46,0,1
82176,09915,09915 - Carl F West Estates - Wreck 6|21|202,match,true,81389.97,81389.97,0,1
72198,09916,09916 - Carl  F West-SJS Renovation  6|21|202,match,true,112789.05,112789.05,0,1
63796,09917,09917 - Truesdell Elementary - 1960 Annex,mismatch,false,861359.34,721575.01,139784.33,1
134422,09920,09920 - Brent ES (Smoot) (GoelDC-PW) (TS-LL),mismatch,false,3210220,3455370,-245150,1
131969,09921,09921 - American Univ. Roper Hall (James D Davis),match,true,176559.44,176559.44,0,1
173110,09923,09923 - Belmont Crossing Phase 3,mismatch,false,52600.45,1157399.45,-1104799,1
142299,09924,09924 - Capital One Arena (COAT) MDE Loft,missing_siteline,,0,,,0
142300,09925,09925 - Cap One Reana (COAT) Package 2,missing_siteline,,0,,,0
142289,09926,09926 - Cap One Arena (COAT) Enablement,mismatch,false,0,248886.68,-248886.68,1
140699,11111,11111 - Budget Prices for Goel Jobs,missing_siteline,,1,,,0
58823,12135,12135 - Project C.O.R.E. Demo COR-028,missing_siteline,,2761239.23,,,0
68700,12136,12136 - Sharp Ledenhall ES - Project C.O.R.E. COR-030 // DD-014,missing_siteline,,341500,,,0
73490,12137,12137 - CORE Demo COR-031,missing_siteline,,1152087.33,,,0
161388,12201 - 02,12201 - 2718 - 2734 Prospect St,missing_siteline,,0,,,0
166039,12201 - 03,12201 - 2525-2533 Pennsylvania Ave,missing_siteline,,0,,,0
189351,12201-04,12201,missing_siteline,,0,,,0
31030,13223,"13223 - Langston Hughes Middle School (Procure, and install tarps for WM)",missing_siteline,,1027.69,,,0
35028,"13400 - B-1450 Asbestos Abatement, On-Call, Term Contract","13400 - B-1450 Asbestos Abatement, On-Call, Term Contract (Master Agreement",missing_siteline,,0,,,0
118758,13800,13800 - MNCPPC - Emergency response,missing_siteline,,75000,,,0
89094,14004,14004 - 5419 Crismer Ave - Lead,missing_siteline,,5350,,,0
70811,14501,14501 - Cardinal FES (FCPS),missing_siteline,,1,,,0
97396,14522,14522 - Mosaic ES (FCPS Hazmat),missing_siteline,,28524.24,,,0
64564,14700,"14700 - Asbestos Abatement Services, City of Baltimore (B50006097)",missing_siteline,,918335.08,,,0
76673,15000,"15000 - Demolition Services, On-Call, Term Contract (Baltimore County)",missing_siteline,,0,,,0
207123,15002,15002 - 12074 Falls Road Demo (Balt County) (Goel- NS) (TS-LL),missing_siteline,,51654.6,,,0
76265,15200,"15200 - ANNUAL CONTRACT FOR HAZARDOUS MATERIAL ABATEMENT, DEMOLITION, AND ROUGH GRADING CONSTRUCTION SERVICES PROJECT NO. 2G40-162-004",missing_siteline,,0,,,0
77771,15400,15400 - Arlington County On-Call Residential Demolition Services,missing_siteline,,0,,,0
115369,16000,16000 - FCPS Hazmat Contract 2024,missing_siteline,,0,,,0
175286,16051,16051 - Wilton Woods Center,missing_siteline,,94510,,,0
179881,16056,16056 - Lorton Center-Phase 2,missing_siteline,,0,,,0
83219,18900,18900 - Amtrak BP Tunnel Demo (DCB),missing_siteline,,0,,,0
73309,18900,18900 - Amtrak BP Tunnel Demo,missing_siteline,,272744.4,,,0
